title	year	format	source	imdb_id
The Purple Rose of Cairo	1985	NA	Loftet 07	tt0089853
The Quiet Earth	1985	NA	Loftet 07	tt0089869
The Red Shoes	1948	DVD	Loftet 04	tt0040725
The Rescuers	1977	DVD	Loftet 06	tt0076618
The Rescuers Down Under	1990	DVD	Loftet 06	tt0100477
The Road	2009	NA	Loftet 07	tt0898367
The Rocky Horror Picture Show	1975	DVD	Loftet 04	tt0073629
The Running Man	1987	NA	Loftet 07	tt0093894
The Secret Diaries of Miss Anne Lister	2010	NA	Loftet 07	tt1555126
The Secret Life of Bees	2008	NA	Loftet 07	tt0416212
The Sleeping Beauty	2010	NA	Loftet 07	tt1721683
The Sound of Music	1965	DVD	Loftet 04	tt0059742
The Spirit	2008	DVD	Loftet 01	tt0831887
The Sword in the Stone	1963	DVD	Loftet 06	tt0057546
The Terminator	1984	DVD	Loftet 02	tt0088247
The Twelve Chairs	1970	NA	Loftet 07	tt0066495
The Witches	1990	NA	Loftet 07	tt0100944
The Wizard of Oz	1939	DVD	Loftet 04	tt0032138
They Live	1988	NA	Loftet 07	tt0096256
Three... Extremes	2004	DVD	Loftet 05	tt0420251
Titan A.E.	2000	NA	Loftet 07	tt0120913
To Be or Not to Be	1983	NA	Loftet 07	tt0086450
Tomorrow, When the War Began	2010	NA	Loftet 07	tt1456941
Toy Story	1995	DVD	Loftet 04	tt0114709
Toy Story 2	1999	DVD	Loftet 04	tt0120363
Transmorphers	2007	NA	Loftet 07	tt0960835
Transmutators	2007	NA	Loftet 07	tt1047877
Treasure Planet	2002	DVD	Loftet 06	tt0133240
Tron	1982	NA	Loftet 07	tt0084827
True Grit	2010	DVD	Loftet 01	tt1403865
Underworld	2003	DVD	Loftet 01	tt0320691
Underworld: Evolution	2006	DVD	Loftet 01	tt0401855
Up	2009	Blu-ray	Loftet 04	tt1049413
Up	2009		Loftet 04	tt1049413
Valhalla Rising	2009	DVD	Loftet 01	tt0862467
Victor/Victoria	1982	DVD	Loftet 04	tt0084865
Videodrome	1983	NA	Loftet 07	tt0086541
WALL·E	2008	DVD	Loftet 04	tt0910970
West Side Story	1961	DVD	Loftet 04	tt0055614
What Dreams May Come	1998	DVD	Loftet 05	tt0120889
X-Men	2000	DVD	Loftet 01	tt0120903
X-Men Origins: Wolverine	2009	DVD	Loftet 01	tt0458525
X-Men: The Last Stand	2006	DVD	Loftet 01	tt0376994
X2: X-Men United	2003	DVD	Loftet 01	tt0290334
Zelig	1983	NA	Loftet 07	tt0086637
